level	kind	chapter_num	section	title	page_a_print	page_a_print_end	page_a_pdf	page_b	page_b_end
4	subheading	4	4.1	Polar Groups Contribute Hydrogen Bonds and Ion Pairs to Protein Folding	109	109	145	484	484
4	subheading	4	4.1	Individual van der Waals Interactions Are Weak but Combine to Promote Folding	109	110	145	485	486
4	subheading	4	4.1	The Peptide Bond Is Rigid and Planar	110	110	146	487	492
3	section	4	4.2	4.2 Protein Secondary Structure	111	116	147	493	514
4	subheading	4	4.2	The α Helix Is a Common Protein Secondary Structure	111	112	147	493	498
4	subheading	4	4.2	Amino Acid Sequence Affects Stability of the α Helix	112	113	148	499	502
4	subheading	4	4.2	The β Conformation Organizes Polypeptide Chains into Sheets	113	113	149	503	504
4	subheading	4	4.2	β Turns Are Common in Proteins	114	114	150	505	507
4	subheading	4	4.2	Common Secondary Structures Have Characteristic Dihedral Angles	114	115	150	508	510
4	subheading	4	4.2	Common Secondary Structures Can Be Assessed by Circular Dichroism	116	116	152	511	514
3	section	4	4.3	4.3 Protein Tertiary and Quaternary Structures	116	129	152	515	553
4	subheading	4	4.3	Fibrous Proteins Are Adapted for a Structural Function	117	120	153	516	528
4	subheading	4	4.3	Structural Diversity Reflects Functional Diversity in Globular Proteins	121	121	157	529	530
4	subheading	4	4.3	Myoglobin Provided Early Clues about the Complexity of Globular Protein Structure	121	122	157	531	534
4	subheading	4	4.3	Globular Proteins Have a Variety of Tertiary Structures	122	124	158	535	541
4	subheading	4	4.3	Some Proteins or Protein Segments Are Intrinsically Disordered	124	125	160	542	544
4	subheading	4	4.3	Protein Motifs Are the Basis for Protein Structural Classification	125	126	161	545	547
4	subheading	4	4.3	Protein Quaternary Structures Range from Simple Dimers to Large Complexes	126	129	162	548	553
3	section	4	4.4	4.4 Protein Denaturation and Folding	129	136	165	554	580
4	subheading	4	4.4	Loss of Protein Structure Results in Loss of Function	129	129	165	556	557
4	subheading	4	4.4	Amino Acid Sequence Determines Tertiary Structure	130	130	166	558	561
4	subheading	4	4.4	Polypeptides Fold Rapidly by a Stepwise Process	130	131	166	562	566
4	subheading	4	4.4	Some Proteins Undergo Assisted Folding	132	132	168	567	570
4	subheading	4	4.4	Defects in Protein Folding Are the Molecular Basis for Many Human Genetic Disorders	133	136	169	571	580
